40	\N	https://res.cloudinary.com/dzrh2ogbn/image/upload/v1764649311/ganesha_cms_clients/company_logos/fcb80aba9ec07ec43a9f94a21093f560.jpg	PT Rafflesia Bumi Komoditas	PT Rafflesia Bumi Komoditas	-	2025-12-02 04:21:53.704	2025-12-02 04:21:53.704	1	\N	ganesha_cms_clients/company_logos/fcb80aba9ec07ec43a9f94a21093f560
41	\N	https://res.cloudinary.com/dzrh2ogbn/image/upload/v1764649345/ganesha_cms_clients/company_logos/25f02f480bb965d395b1727906973eb8.jpg	PT Bharata Alam Sentosa	PT Bharata Alam Sentosa	-	2025-12-02 04:22:26.271	2025-12-02 04:22:26.271	1	\N	ganesha_cms_clients/company_logos/25f02f480bb965d395b1727906973eb8
42	\N	https://res.cloudinary.com/dzrh2ogbn/image/upload/v1764649383/ganesha_cms_clients/company_logos/4446b3e54fde135f0ad8dbfbb8015012.png	PT Nomira Cakrawala Group	PT Nomira Cakrawala Group	-	2025-12-02 04:23:04.139	2025-12-02 04:23:04.139	1	\N	ganesha_cms_clients/company_logos/4446b3e54fde135f0ad8dbfbb8015012
43	\N	https://res.cloudinary.com/dzrh2ogbn/image/upload/v1764656669/ganesha_cms_clients/company_logos/515bad0458c874569604af0cb6933cae.jpg	PT Artha Mirai Mandiri	PT Artha Mirai Mandiri	-	2025-12-02 06:24:30.629	2025-12-02 06:24:30.629	1	\N	ganesha_cms_clients/company_logos/515bad0458c874569604af0cb6933cae
45	\N	https://res.cloudinary.com/dzrh2ogbn/image/upload/v1764656966/ganesha_cms_clients/company_logos/5a6200ea6ff72c97db1010a85b476b77.png	PT Karyo Samudro Artomoro	PT Karyo Samudro Artomoro	-	2025-12-02 06:29:26.637	2025-12-02 06:29:26.637	1	\N	ganesha_cms_clients/company_logos/5a6200ea6ff72c97db1010a85b476b77
46	\N	https://res.cloudinary.com/dzrh2ogbn/image/upload/v1764657004/ganesha_cms_clients/company_logos/b8cd1a67be115aa8ee7dc0e1802ebf48.jpg	PT AMD Mutiara Nusantara	PT AMD Mutiara Nusantara	-	2025-12-02 06:30:05.291	2025-12-02 06:30:05.291	1	\N	ganesha_cms_clients/company_logos/b8cd1a67be115aa8ee7dc0e1802ebf48
31	\N	https://res.cloudinary.com/dzrh2ogbn/image/upload/v1765870941/ganesha_cms_clients/company_logos/272743fee3f4f4bd5d0c896da571a5de.jpg	PT Andhika Gemilang Logistik	PT Andhika Gemilang Logistik	-	2025-12-02 04:14:58.176	2025-12-16 07:42:22.811	1	\N	ganesha_cms_clients/company_logos/272743fee3f4f4bd5d0c896da571a5de
34	\N	https://res.cloudinary.com/dzrh2ogbn/image/upload/v1765869908/ganesha_cms_clients/company_logos/2c428bcfb2a74dc98ab7f9d8794bdc30.jpg	PT Arutala Djong Nusantara	PT Arutala Djong Nusantara	-	2025-12-02 04:17:03.882	2025-12-16 07:25:08.865	1	\N	ganesha_cms_clients/company_logos/2c428bcfb2a74dc98ab7f9d8794bdc30
47	https://res.cloudinary.com/dzrh2ogbn/image/upload/v1768187736/ganesha_cms_clients/client_photos/d1af6fe34acfb55f3d55f58952c3f12e.jpg	\N	Client Photo	-	-	2026-01-12 03:15:36.459	2026-01-12 03:15:36.459	1	ganesha_cms_clients/client_photos/d1af6fe34acfb55f3d55f58952c3f12e	\N
48	https://res.cloudinary.com/dzrh2ogbn/image/upload/v1768187760/ganesha_cms_clients/client_photos/94a2bf49f3f41b563717c93a43ce3a2c.jpg	\N	Client Photo	-	-	2026-01-12 03:16:01.335	2026-01-12 03:16:01.335	1	ganesha_cms_clients/client_photos/94a2bf49f3f41b563717c93a43ce3a2c	\N
49	https://res.cloudinary.com/dzrh2ogbn/image/upload/v1768187794/ganesha_cms_clients/client_photos/712c064483abdb13d4b884a0462b6411.jpg	\N	Client Photo	-	-	2026-01-12 03:16:35.218	2026-01-12 03:16:35.218	4	ganesha_cms_clients/client_photos/712c064483abdb13d4b884a0462b6411	\N
