6	22	ARTICLE	2	2025-11-25 06:28:17.497	2025-11-25 06:29:03.171
5	28	PROMO	2	2025-11-25 04:36:54.991	2025-11-25 06:29:26.106
10	30	PROMO	1	2025-11-25 09:01:13.154	2025-11-25 09:01:13.154
12	24	PROMO	1	2025-11-25 09:12:15.68	2025-11-25 09:12:15.68
20	23	ARTICLE	1	2025-11-26 03:05:48.1	2025-11-26 03:05:48.1
16	21	ARTICLE	2	2025-11-25 09:32:44.262	2025-11-26 03:06:05.406
18	29	ARTICLE	7	2025-11-26 03:05:14.188	2025-12-08 03:11:29.492
29	4	ACTIVITY	1	2025-12-09 08:32:18.689	2025-12-09 08:32:18.689
57	17	ACTIVITY	1	2026-06-21 03:09:14.962	2026-06-21 03:09:14.962
42	12	ACTIVITY	1	2026-01-17 11:17:35.866	2026-01-17 11:17:35.866
25	40	ACTIVITY	3	2025-12-02 07:37:57.875	2026-01-17 11:17:47.368
50	35	ARTICLE	10	2026-03-10 07:06:21.727	2026-07-02 03:01:36.296
44	9	ACTIVITY	1	2026-01-26 08:53:10.892	2026-01-26 08:53:10.892
4	15	ACTIVITY	2	2025-11-25 04:36:23.924	2026-01-26 08:53:47.004
27	42	ACTIVITY	10	2025-12-03 07:38:47.473	2026-07-02 03:25:00.086
45	51	ACTIVITY	4	2026-02-06 13:15:44.323	2026-07-02 03:25:06.923
13	27	PROMO	3	2025-11-25 09:12:18.003	2025-12-15 04:33:54.026
15	24	ARTICLE	2	2025-11-25 09:32:13.541	2026-02-05 23:33:15.195
58	18	ACTIVITY	1	2026-07-02 03:25:28.932	2026-07-02 03:25:28.932
38	32	ARTICLE	2	2026-01-06 07:57:38.49	2026-07-02 04:14:15.632
32	31	PROMO	2	2025-12-15 06:31:14.342	2026-02-06 13:26:18.012
37	34	ARTICLE	5	2026-01-06 07:57:06.904	2026-07-02 07:29:59.515
17	36	PROMO	9	2025-11-25 09:47:35.278	2025-12-15 06:19:12.923
8	35	PROMO	5	2025-11-25 06:33:02.557	2025-12-15 06:19:22.643
48	6	ACTIVITY	1	2026-02-10 23:33:45.675	2026-02-10 23:33:45.675
24	7	ACTIVITY	2	2025-12-02 04:24:27.416	2026-02-10 23:34:28.782
47	10	ACTIVITY	2	2026-02-09 09:09:30.307	2026-02-11 22:21:00.277
11	34	PROMO	5	2025-11-25 09:12:05.76	2025-12-15 06:19:26.452
49	11	ACTIVITY	1	2026-02-11 22:21:23.294	2026-02-11 22:21:23.294
34	45	PROMO	2	2025-12-23 07:45:53.989	2026-02-27 02:50:52.188
43	50	ACTIVITY	9	2026-01-26 06:14:28.443	2026-07-02 12:16:28.75
19	25	ARTICLE	4	2025-11-26 03:05:33.242	2026-07-03 02:51:53.959
14	26	PROMO	5	2025-11-25 09:12:21.169	2026-03-24 05:18:41.883
26	41	PROMO	33	2025-12-03 07:20:36.785	2025-12-15 06:29:03.921
22	38	PROMO	12	2025-11-28 04:14:02.867	2026-07-03 22:57:13.368
33	22	PROMO	2	2025-12-15 06:49:09.955	2025-12-15 07:45:43.633
40	49	PROMO	6	2026-01-14 10:18:33.462	2026-04-07 12:11:28.124
31	37	PROMO	2	2025-12-15 06:19:17.95	2026-04-07 12:11:37.237
28	44	PROMO	25	2025-12-08 09:25:31.898	2026-07-03 22:57:32.686
23	39	PROMO	12	2025-12-01 08:24:35.958	2025-12-18 19:06:59.258
7	3	ACTIVITY	2	2025-11-25 06:29:50.895	2025-12-19 13:24:21.992
35	20	ARTICLE	2	2025-12-26 09:47:24.899	2025-12-26 09:47:26.015
46	32	PROMO	8	2026-02-06 13:25:39.405	2026-07-03 22:57:40.534
9	27	ARTICLE	3	2025-11-25 06:33:33.642	2026-07-05 04:29:43.553
52	28	ARTICLE	2	2026-04-11 00:12:07.084	2026-07-05 04:31:08.98
30	25	PROMO	3	2025-12-15 03:32:37.4	2026-07-07 00:11:22.027
59	36	ARTICLE	1	2026-07-17 09:53:43.054	2026-07-17 09:53:43.054
53	28	ARTICLE	1	2026-04-11 00:12:07.228	2026-04-11 00:12:07.228
54	28	ARTICLE	1	2026-04-11 00:12:07.229	2026-04-11 00:12:07.229
55	20	ACTIVITY	1	2026-04-20 16:08:07.779	2026-04-20 16:08:07.779
56	19	ACTIVITY	1	2026-04-20 16:08:18.78	2026-04-20 16:08:18.78
36	33	ARTICLE	4	2026-01-05 02:11:39.279	2026-04-27 22:23:05.966
41	48	PROMO	5	2026-01-14 10:18:41.595	2026-05-04 13:43:41.857
39	46	PROMO	4	2026-01-08 03:24:47.411	2026-05-04 13:44:18.059
51	47	PROMO	4	2026-03-24 05:20:05.246	2026-05-29 03:32:03.303
21	16	ACTIVITY	5	2025-11-26 08:53:34.065	2026-06-11 03:24:47.924
\.


