30	TBN (Teman Bumi Niaga)	PT Teman Bumi Niaga	https://tbn-web.vercel.app	https://res.cloudinary.com/dzrh2ogbn/image/upload/v1762943609/ganesha_cms_project_previews/50ced77715aa33493aad403248efb6f7.jpg	ganesha_cms_project_previews/50ced77715aa33493aad403248efb6f7	2025-11-12 10:33:31.518	2025-11-12 10:33:31.518
16	People Impact	People Impact Human Resources Consultant	https://www.peopleimpact.co.id/	https://res.cloudinary.com/dzrh2ogbn/image/upload/v1762503840/ganesha_cms_project_previews/fe9c944e1a5797b0c63b75064543ebe1.jpg	ganesha_cms_project_previews/fe9c944e1a5797b0c63b75064543ebe1	2025-11-07 08:23:43.276	2025-11-20 06:32:55.972
12	LPK Hidamari Kenshu Senta	PT LPK Hidamari Kenshu Senta	https://lpk-web-git-main-raflyyys-projects.vercel.app	https://res.cloudinary.com/dzrh2ogbn/image/upload/v1762498657/ganesha_cms_project_previews/3ca5f72da6ee2f27583790b58f612072.jpg	ganesha_cms_project_previews/3ca5f72da6ee2f27583790b58f612072	2025-11-07 06:56:10.048	2025-11-20 06:33:26.215
8	SEIC	PT Sentosa Indonesia Consultant	https://seic.co.id	https://res.cloudinary.com/dzrh2ogbn/image/upload/v1762498092/ganesha_cms_project_previews/458d7442106aa733992ed86d14da2a71.jpg	ganesha_cms_project_previews/458d7442106aa733992ed86d14da2a71	2025-11-07 06:48:13.06	2025-11-20 06:33:45.686
2	Krek Digital	PT Krek Transformasi Digital	https://www.krekdigital.com	https://res.cloudinary.com/dzrh2ogbn/image/upload/v1762496807/ganesha_cms_project_previews/af2e089972956039723890d3c7998dc8.jpg	ganesha_cms_project_previews/af2e089972956039723890d3c7998dc8	2025-11-07 06:26:48.13	2025-11-20 06:34:06.82
4	PT Wahyu Tatawasana	PT Wahyu Tatawasana	https://pt-wahyu-web.vercel.app	https://res.cloudinary.com/dzrh2ogbn/image/upload/v1762497387/ganesha_cms_project_previews/86eed5b8562d1af1db85e38f734cbb93.jpg	ganesha_cms_project_previews/86eed5b8562d1af1db85e38f734cbb93	2025-11-07 06:36:27.764	2025-11-20 06:34:26.64
7	BISA	PT Blora Inovasi Sejahtera Abadi	https://www.blorainovasisejahtera.com/	https://res.cloudinary.com/dzrh2ogbn/image/upload/v1762497797/ganesha_cms_project_previews/300c9bb90ec38bc66e8ee7eff2659aba.jpg	ganesha_cms_project_previews/300c9bb90ec38bc66e8ee7eff2659aba	2025-11-07 06:43:20.089	2025-11-20 06:34:46.005
\.


