7	18	t
7	12	f
269	107	t
269	7	t
269	108	t
269	109	t
269	110	t
269	111	t
269	112	t
269	113	t
269	114	t
269	115	t
269	116	t
270	107	t
270	7	t
270	108	t
270	109	t
270	110	t
270	111	t
270	112	t
270	113	t
270	114	t
270	115	t
270	116	t
271	107	t
271	7	t
271	108	t
271	109	t
271	110	t
271	111	t
271	112	t
271	113	t
271	114	t
271	115	t
271	116	t
272	107	t
272	7	t
272	108	t
272	109	t
272	110	t
272	111	t
272	112	t
272	113	t
272	114	t
272	115	t
272	116	t
273	107	t
5	30	t
5	13	f
5	14	f
5	15	f
5	16	f
5	17	f
5	18	f
5	12	t
5	31	t
5	19	t
5	20	t
5	32	t
5	22	t
5	23	t
5	24	t
5	25	t
5	26	t
5	27	t
5	28	t
7	23	t
7	26	t
7	25	t
7	28	t
7	30	t
7	17	t
7	16	t
7	20	t
7	24	t
7	34	t
7	19	t
7	13	f
7	32	t
7	27	t
7	22	t
273	7	t
273	108	t
273	109	t
273	110	t
273	111	t
273	112	t
273	113	t
273	114	t
273	115	t
273	116	t
274	107	t
274	7	t
274	108	t
274	109	t
274	110	t
274	111	t
274	112	t
274	113	t
274	114	t
274	115	t
274	116	t
275	107	t
275	7	t
275	108	t
275	109	t
275	110	t
275	111	t
275	112	t
275	113	t
275	114	t
275	115	t
275	116	t
276	107	t
276	7	t
9	30	t
9	12	t
9	13	t
9	14	t
9	35	t
9	17	t
9	18	t
9	19	t
9	20	t
9	32	t
9	22	t
9	23	t
9	24	t
9	25	t
9	26	t
9	27	t
9	28	t
276	108	t
276	109	t
276	110	t
276	111	t
276	112	t
276	113	t
276	114	t
276	115	t
276	116	t
277	107	t
277	7	t
277	108	t
277	109	t
277	110	t
277	111	t
277	112	t
277	113	t
277	114	t
277	115	t
277	116	t
278	107	t
278	7	t
278	108	t
278	109	t
278	110	t
278	111	t
278	112	t
278	113	t
278	114	t
278	115	t
278	116	t
3	11	t
3	18	f
3	12	f
3	23	t
3	26	t
3	25	t
3	28	t
3	17	f
3	16	f
3	15	f
3	20	t
3	24	t
3	14	f
3	19	f
3	13	f
3	21	t
3	27	t
3	22	t
4	18	f
4	12	f
4	23	t
4	26	t
4	25	t
4	28	t
4	17	f
4	16	f
4	15	f
4	20	t
4	24	t
4	14	f
4	19	f
4	13	f
4	21	t
4	27	t
