247	9
247	10
247	11
247	12
247	13
247	14
145	3
145	4
145	8
145	9
145	10
145	11
145	12
145	13
145	14
146	3
146	4
146	8
146	9
146	10
146	11
146	12
146	13
146	14
147	3
147	4
147	8
147	9
147	10
147	11
147	12
147	13
147	14
148	3
148	4
148	8
148	9
148	10
148	11
148	12
148	13
148	14
149	3
144	3
144	8
144	4
144	9
144	10
144	11
144	12
144	13
144	14
149	4
149	8
149	9
149	10
149	11
149	12
149	13
149	14
150	3
150	4
150	8
150	9
150	10
150	11
150	12
150	13
150	14
151	3
247	3
247	4
247	8
151	4
151	8
151	9
151	10
151	11
151	12
151	13
151	14
152	3
152	4
152	8
152	9
152	10
152	11
152	12
152	13
152	14
153	3
153	4
153	8
153	9
153	10
153	11
153	12
153	13
153	14
269	12
269	11
269	15
269	16
269	3
269	8
269	4
269	17
269	7
270	12
270	11
270	15
270	16
270	3
270	8
270	4
270	17
270	7
271	12
271	11
271	15
271	16
271	3
271	8
271	4
271	17
271	7
272	12
272	11
272	15
272	16
272	3
272	8
272	4
272	17
272	7
273	12
273	11
273	15
273	16
273	3
273	8
273	4
273	17
273	7
274	12
274	11
274	15
274	16
274	3
274	8
274	4
274	17
274	7
275	12
275	11
275	15
275	16
275	3
275	8
275	4
275	17
275	7
276	12
276	11
276	15
276	16
276	3
276	8
276	4
276	17
276	7
277	12
277	11
277	15
277	16
277	3
277	8
277	4
277	17
277	7
278	12
278	11
278	15
278	16
278	3
278	8
278	4
278	17
278	7
280	18
280	19
280	20
280	21
280	22
280	23
280	24
280	25
280	26
280	27
280	28
281	18
281	19
281	20
281	21
281	22
281	23
281	24
281	25
281	26
281	27
281	28
282	27
282	29
282	30
282	31
282	28
282	32
282	3
282	33
282	34
282	35
282	7
283	36
283	37
283	31
283	38
284	39
284	40
284	41
284	42
268	28
268	59
268	55
268	27
268	58
268	23
268	56
268	57
265	59
265	43
265	6
265	42
265	5
264	59
264	43
264	6
264	42
264	5
266	59
266	43
266	6
266	42
266	5
267	59
267	54
267	52
267	53
267	47
267	49
267	48
267	50
267	46
267	45
267	44
267	51
279	28
279	25
279	22
279	27
279	19
279	21
279	26
279	23
279	24
279	18
279	20
\.


